"AMPH","Amphastar Pharmac",10.07,9.95,+0.07,"11/5/2014","2:37pm"
"AMSG","Amsurg Corp.",51.17,51.80,-1.11,"11/5/2014","2:37pm"
"AMSGP","Amsurg Corp.",108.20,108.77,-1.66,"11/5/2014","2:08pm"
"ASYS","Amtech Systems, I",10.1901,10.16,-0.0099,"11/5/2014","2:26pm"
"AFSI","AmTrust Financial",51.60,51.50,+1.72,"11/5/2014","2:37pm"
"AMRS","Amyris, Inc.",2.80,2.76,-0.17,"11/5/2014","2:37pm"
"ANAC","Anacor Pharmaceut",28.95,29.41,+0.01,"11/5/2014","2:36pm"
"ANAD","ANADIGICS, Inc.",0.77,0.72,+0.07,"11/5/2014","2:33pm"
"ADI","Analog Devices, I",49.72,49.64,+0.27,"11/5/2014","2:37pm"
"ALOG","Analogic Corporat",73.67,73.92,+0.23,"11/5/2014","2:37pm"
"ANCB","Anchor Bancorp",20.60,N/A,0.00,"11/3/2014","3:43pm"
"ABCW","Anchor BanCorp Wi",31.00,31.72,+0.7547,"11/5/2014","2:20pm"
"AMCF","Andatee China Mar",1.95,2.00,-0.02,"11/5/2014","2:25pm"
"ANGI","Angie's List, Inc",6.56,6.59,0.00,"11/5/2014","2:37pm"
"ANGO","AngioDynamics, In",16.88,16.98,-0.06,"11/5/2014","2:37pm"
"ANIP","ANI Pharmaceutica",44.3042,43.17,+1.1442,"11/5/2014","2:36pm"
"ANIK","Anika Therapeutic",40.45,41.04,-0.16,"11/5/2014","2:37pm"
"ANSS","ANSYS, Inc.",76.83,76.00,-0.62,"11/5/2014","2:37pm"
"ATRS","Antares Pharma, I",2.12,2.11,+0.02,"11/5/2014","2:37pm"
"ANTH","Anthera Pharmaceu",1.86,1.86,0.00,"11/5/2014","2:37pm"
"ABAC","Aoxin Tianli Grou",2.20,2.32,-0.1399,"11/5/2014","2:23pm"
"APAGF","Apco Oil and Gas ",14.24,14.00,+0.28,"11/5/2014","2:35pm"
"ATNY","API Technologies ",2.06,2.05,+0.02,"11/5/2014","2:04pm"
"APOG","Apogee Enterprise",43.52,44.04,+0.03,"11/5/2014","2:36pm"
"APOL","Apollo Education ",28.71,28.87,+0.12,"11/5/2014","2:37pm"
"AINV","Apollo Investment",8.175,8.19,+0.045,"11/5/2014","2:37pm"
"AAPL","Apple Inc.",108.86,109.19,+0.26,"11/5/2014","2:37pm"
"ARCI","Appliance Recycli",2.858,2.69,+0.1979,"11/5/2014","2:37pm"
"AGTC","Applied Genetic T",21.29,21.68,-0.08,"11/5/2014","2:27pm"
"AMAT","Applied Materials",22.52,22.29,+0.44,"11/5/2014","2:37pm"
"AMCC","Applied Micro Cir",6.679,6.51,+0.219,"11/5/2014","2:37pm"
"AAOI","Applied Optoelect",15.75,15.82,-0.11,"11/5/2014","2:35pm"
"AREX","Approach Resource",8.97,8.95,+0.17,"11/5/2014","2:37pm"
"APRI","Apricus Bioscienc",1.51,1.60,-0.07,"11/5/2014","2:16pm"
"APTO","Aptose Bioscience",6.7501,6.81,-0.1799,"11/5/2014","1:22pm"
"AQU","Aquasition Corp.",7.07,N/A,0.00,"10/21/2014","9:33am"
"AQXP","Aquinox Pharmaceu",6.77,6.66,+0.01,"11/5/2014","1:44pm"
"AUMA","AR Capital Acquis",9.50,N/A,0.00,"11/4/2014","1:09pm"
"AUMAU","AR Capital Acquis",9.89,9.72,+0.05,"11/5/2014","2:17pm"
"AUMAW","AR Capital Acquis",0.35,0.35,-0.15,"11/5/2014","10:13am"
"ARDM","Aradigm Corporati",7.7699,7.95,-0.0301,"11/5/2014","1:45pm"
"PETX","Aratana Therapeut",11.19,11.80,-0.47,"11/5/2014","2:37pm"
"ARCW","ARC Group Worldwi",12.70,13.00,-0.24,"11/5/2014","2:32pm"
